ID,Study,Male,Adult,enter,exit,event,cause,COD
ACRP1,ACR,0,1,278,365,0,Censored,Censored
ACRP1,ACR,0,1,0,364,0,Censored,Censored
ACRP1,ACR,0,1,0,364,0,Censored,Censored
ACRP1,ACR,0,1,0,364,0,Censored,Censored
ACRP1,ACR,0,1,0,40,0,Censored,Censored
ACRP10,ACR,0,1,126,169,0,Censored,Censored
ACRP11,ACR,0,1,267,364,0,Censored,Censored
ACRP11,ACR,0,1,0,364,0,Censored,Censored
ACRP11,ACR,0,1,0,11,0,Censored,Censored
ACRP12,ACR,0,1,311,364,0,Censored,Censored
ACRP12,ACR,0,1,0,151,0,Censored,Censored
ACRP13,ACR,1,1,346,364,0,Censored,Censored
ACRP13,ACR,1,1,0,364,0,Censored,Censored
ACRP13,ACR,1,1,0,51,0,Censored,Censored
ACRP14,ACR,1,0,6,209,1,Management,DEPREDATION
ACRP15,ACR,1,0,35,37,1,Management,DEPREDATION
ACRP16,ACR,0,1,74,364,0,Censored,Censored
ACRP16,ACR,0,1,0,51,0,Censored,Censored
ACRP17,ACR,0,0,81,348,0,Censored,Censored
ACRP19,ACR,1,0,212,364,0,Censored,Censored
ACRP19,ACR,1,0,0,364,0,Censored,Censored
ACRP19,ACR,1,0,0,51,0,Censored,Censored
ACRP2,ACR,0,0,316,365,0,Censored,Censored
ACRP2,ACR,0,0,0,243,0,Censored,Censored
ACRP2,ACR,0,1,244,286,0,Censored,Censored
ACRP21,ACR,1,1,40,50,1,Management,DEPREDATION
ACRP4,ACR,0,1,50,364,0,Censored,Censored
ACRP4,ACR,0,1,0,364,0,Censored,Censored
ACRP4,ACR,0,1,0,364,0,Censored,Censored
ACRP4,ACR,0,1,0,51,0,Censored,Censored
ACRP5,ACR,1,1,90,364,0,Censored,Censored
ACRP5,ACR,1,1,0,364,0,Censored,Censored
ACRP5,ACR,1,1,0,364,0,Censored,Censored
ACRP5,ACR,1,1,0,51,0,Censored,Censored
ACRP6,ACR,0,0,229,364,0,Censored,Censored
ACRP6,ACR,0,0,0,205,1,Management,DEPREDATION
ACRP9,ACR,0,1,56,364,0,Censored,Censored
ACRP9,ACR,0,1,0,8,1,Natural (Non-ISA),"NATURAL CAUSE"
Central_CoastSF1,Central_Coast,0,1,336,364,0,Censored,Censored
Central_CoastSF1,Central_Coast,0,1,0,364,0,Censored,Censored
Central_CoastSF1,Central_Coast,0,1,0,204,0,Censored,Censored
