ID,Study,Male,Adult,enter,exit,event,cause,COD,Cluster
ACRP1,ACR,0,1,273,365,0,Censored,Censored,1
ACRP1,ACR,0,1,0,364,0,Censored,Censored,1
ACRP1,ACR,0,1,0,364,0,Censored,Censored,1
ACRP1,ACR,0,1,0,274,0,Censored,Censored,1
ACRP10,ACR,0,1,126,142,0,Censored,Censored,1
ACRP11,ACR,0,1,268,364,0,Censored,Censored,1
ACRP11,ACR,0,1,0,275,0,Censored,Censored,1
ACRP12,ACR,0,1,311,364,0,Censored,Censored,1
ACRP12,ACR,0,1,0,152,0,Censored,Censored,1
ACRP13,ACR,1,1,347,364,0,Censored,Censored,1
ACRP13,ACR,1,1,0,275,0,Censored,Censored,1
ACRP14,ACR,1,0,0,209,1,Management,DEPREDATION,1
ACRP15,ACR,1,0,35,38,1,Management,DEPREDATION,1
ACRP16,ACR,0,1,75,174,0,Censored,Censored,1
ACRP17,ACR,0,0,82,281,0,Censored,Censored,1
ACRP19,ACR,1,0,247,364,0,Censored,Censored,1
ACRP19,ACR,1,0,0,52,0,Censored,Censored,1
ACRP2,ACR,0,0,317,365,0,Censored,Censored,1
ACRP2,ACR,0,0,0,244,0,Censored,Censored,1
ACRP2,ACR,0,1,238,286,0,Censored,Censored,1
ACRP21,ACR,1,1,35,51,1,Management,DEPREDATION,1
ACRP4,ACR,0,1,50,211,0,Censored,Censored,1
ACRP4,ACR,0,1,116,364,0,Censored,Censored,1
ACRP4,ACR,0,1,0,274,0,Censored,Censored,1
ACRP5,ACR,1,1,91,364,0,Censored,Censored,1
ACRP5,ACR,1,1,0,364,0,Censored,Censored,1
ACRP5,ACR,1,1,0,275,0,Censored,Censored,1
ACRP6,ACR,0,0,59,204,1,Management,DEPREDATION,1
ACRP9,ACR,0,1,56,364,0,Censored,Censored,1
ACRP9,ACR,0,1,0,8,1,Natural (Non-ISA),NATURAL CAUSE,1
Central_CoastSF1,Central_Coast,0,1,336,364,0,Censored,Censored,2
Central_CoastSF1,Central_Coast,0,1,0,364,0,Censored,Censored,2
Central_CoastSF1,Central_Coast,0,1,0,139,0,Censored,Censored,2
Central_CoastSF2,Central_Coast,0,1,26,364,0,Censored,Censored,2
Central_CoastSF2,Central_Coast,0,1,0,148,1,Unknown,UNKNOWN,2
Central_CoastSF3,Central_Coast,0,1,26,364,0,Censored,Censored,2
Central_CoastSF3,Central_Coast,0,1,0,15,0,Censored,Censored,2
Central_CoastSF4,Central_Coast,0,1,51,364,0,Censored,Censored,2
Central_CoastSF4,Central_Coast,0,1,0,137,0,Censored,Censored,2
Central_CoastSF5,Central_Coast,0,1,98,309,0,Censored,Censored,2
Central_CoastSM1,Central_Coast,1,1,18,364,0,Censored,Censored,2
Central_CoastSM1,Central_Coast,1,1,0,76,1,Vehicle,HIT BY CAR,2
Central_CoastSM2,Central_Coast,1,1,110,164,1,Management,DEPREDATION,2
